

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 7261            
  Cones                  : 0               
  Scalar variables       : 122             
  Matrix variables       : 0               
  Integer variables      : 121             

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 0.19
Presolved problem: 122 variables, 7261 constraints, 21901 non-zeros
Presolved problem: 0 general integer, 121 binary, 1 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
28938    28888    4818     113      -9.5291615284e-01    -2.2423608216e+00    135.32      61.4  
29211    29153    4827     28       -9.5291615284e-01    -2.2329062206e+00    134.32      62.0  
29476    29416    4846     35       -9.5291615284e-01    -2.2329062206e+00    134.32      62.6  
29744    29681    4858     57       -9.5291615284e-01    -2.2329062206e+00    134.32      63.2  
30010    29942    4870     80       -9.5291615284e-01    -2.2329062206e+00    134.32      63.7  
30276    30207    4888     102      -9.5291615284e-01    -2.2329062206e+00    134.32      64.3  
30545    30472    4893     101      -9.5291615284e-01    -2.2329062206e+00    134.32      64.8  
30811    30737    4909     70       -9.5291615284e-01    -2.2329062206e+00    134.32      65.3  
31076    31000    4938     92       -9.5291615284e-01    -2.2329062206e+00    134.32      65.8  
31350    31266    4934     115      -9.5291615284e-01    -2.2329062206e+00    134.32      66.3  
31615    31531    4953     79       -9.5291615284e-01    -2.2329062206e+00    134.32      66.8  
31882    31797    4960     102      -9.5291615284e-01    -2.2329062206e+00    134.32      67.3  
32152    32056    4970     110      -9.5291615284e-01    -2.2329062206e+00    134.32      67.9  
32418    32321    4978     115      -9.5291615284e-01    -2.1778689633e+00    128.55      68.4  
32685    32588    5001     62       -9.5291615284e-01    -2.1778689633e+00    128.55      69.0  
32956    32854    5006     85       -9.5291615284e-01    -2.1778689633e+00    128.55      69.5  
33224    33122    5016     107      -9.5291615284e-01    -2.1778689633e+00    128.55      70.0  
33492    33389    5032     60       -9.5291615284e-01    -2.1778689633e+00    128.55      70.6  
33758    33655    5050     82       -9.5291615284e-01    -2.1778689633e+00    128.55      71.1  
34017    33910    5053     104      -9.5291615284e-01    -2.1778689633e+00    128.55      71.6  
34285    34177    5087     69       -9.5291615284e-01    -2.1778689633e+00    128.55      72.1  
34555    34444    5087     92       -9.5291615284e-01    -2.1778689633e+00    128.55      72.6  
34821    34710    5097     115      -9.5291615284e-01    -2.1778689633e+00    128.55      73.1  
35088    34977    5104     86       -9.5291615284e-01    -2.1576133355e+00    126.42      73.6  
35359    35244    5111     92       -9.5291615284e-01    -2.1576133355e+00    126.42      74.1  
35625    35510    5121     115      -9.5291615284e-01    -2.1576133355e+00    126.42      74.7  
35893    35776    5139     80       -9.5291615284e-01    -2.1421206841e+00    124.80      75.2  
36163    36040    5153     83       -9.5291615284e-01    -2.1421206841e+00    124.80      75.7  
36430    36306    5160     105      -9.5291615284e-01    -2.1017508283e+00    120.56      76.3  
36700    36572    5156     91       -9.5291615284e-01    -2.1017508283e+00    120.56      76.9  
36969    36838    5159     97       -9.5291615284e-01    -2.1017508283e+00    120.56      77.5  
