

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 14884           
  Cones                  : 0               
  Scalar variables       : 14763           
  Matrix variables       : 0               
  Integer variables      : 14762           

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 1.22
Presolved problem: 14763 variables, 14884 constraints, 58685 non-zeros
Presolved problem: 0 general integer, 14762 binary, 1 continuous
Clique table size: 14762
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
2163     2178     239      48       7.2111000000e-01     5.5554223604e-01     22.96       436.4 
2188     2203     236      51       7.2111000000e-01     5.5554223604e-01     22.96       443.0 
2203     2218     243      32       7.2111000000e-01     5.5738311601e-01     22.70       449.7 
2216     2231     252      30       7.2111000000e-01     5.5738311601e-01     22.70       452.8 
2238     2253     260      27       7.2111000000e-01     5.5748734377e-01     22.69       460.1 
2256     2271     262      32       7.2111000000e-01     5.5748734377e-01     22.69       463.9 
2270     2285     266      33       7.2111000000e-01     5.5748734377e-01     22.69       471.9 
2290     2305     276      34       7.2111000000e-01     5.5748734377e-01     22.69       475.9 
2308     2323     284      29       7.2111000000e-01     5.5748734377e-01     22.69       479.8 
2325     2340     287      45       7.2111000000e-01     5.5748734377e-01     22.69       483.9 
2344     2358     284      56       7.2111000000e-01     5.5748734377e-01     22.69       486.7 
2356     2370     288      55       7.2111000000e-01     5.5754502873e-01     22.68       490.4 
2373     2387     297      46       7.2111000000e-01     5.5754502873e-01     22.68       495.0 
2386     2400     300      30       7.2111000000e-01     5.5754502873e-01     22.68       497.3 
2403     2417     299      48       7.2111000000e-01     5.5755308135e-01     22.68       498.9 
2422     2436     302      28       7.2111000000e-01     5.5755308135e-01     22.68       500.5 
2436     2450     304      59       7.2111000000e-01     5.5755308135e-01     22.68       501.9 
2455     2469     301      11       7.2111000000e-01     5.5766529816e-01     22.67       503.8 
2474     2488     308      32       7.2111000000e-01     5.5766529816e-01     22.67       507.1 
2492     2506     310      33       7.2111000000e-01     5.5796371135e-01     22.62       508.6 
2537     2551     313      81       7.2111000000e-01     5.5796371135e-01     22.62       510.1 
2575     2589     313      34       7.2111000000e-01     5.5849238528e-01     22.55       511.5 
2596     2610     318      39       7.2111000000e-01     5.5849238528e-01     22.55       512.7 
2610     2624     320      74       7.2111000000e-01     5.5849238528e-01     22.55       514.6 
2631     2645     327      75       7.2111000000e-01     5.5849238528e-01     22.55       518.0 
2648     2662     326      35       7.2111000000e-01     5.5862149542e-01     22.53       519.9 
2672     2686     322      32       7.2111000000e-01     5.5862149542e-01     22.53       522.1 
2703     2717     325      36       7.2111000000e-01     5.5866863826e-01     22.53       523.2 
2724     2738     328      78       7.2111000000e-01     5.5866863826e-01     22.53       524.7 
2735     2749     327      78       7.2111000000e-01     5.5866863826e-01     22.53       526.0 
2748     2762     326      37       7.2111000000e-01     5.5881159983e-01     22.51       527.9 
2765     2779     327      76       7.2111000000e-01     5.5881159983e-01     22.51       529.5 
2785     2799     323      38       7.2111000000e-01     5.5898995478e-01     22.48       532.7 
2808     2822     326      63       7.2111000000e-01     5.5898995478e-01     22.48       534.5 
2827     2841     329      39       7.2111000000e-01     5.5903577773e-01     22.48       535.6 
2853     2867     341      40       7.2111000000e-01     5.5903577773e-01     22.48       537.5 
2889     2903     349      75       7.2111000000e-01     5.5903577773e-01     22.48       539.6 
2908     2922     354      41       7.2111000000e-01     5.5932802780e-01     22.44       541.5 
2927     2941     349      42       7.2111000000e-01     5.5932802780e-01     22.44       544.4 
2947     2961     351      58       7.2111000000e-01     5.5932802780e-01     22.44       548.4 
2977     2990     351      60       7.2111000000e-01     5.5932804630e-01     22.44       551.1 
3012     3025     352      55       7.2111000000e-01     5.5932804630e-01     22.44       555.0 
3054     3067     360      44       7.2111000000e-01     5.5932804630e-01     22.44       557.3 
3073     3086     355      63       7.2111000000e-01     5.5932804630e-01     22.44       562.6 
3089     3102     361      76       7.2111000000e-01     5.5941715149e-01     22.42       564.4 
3118     3131     366      79       7.2111000000e-01     5.5941715149e-01     22.42       565.8 
3162     3175     362      41       7.2111000000e-01     5.5941715149e-01     22.42       567.5 
3186     3199     364      63       7.2111000000e-01     5.5941715149e-01     22.42       568.8 
3229     3242     367      45       7.2111000000e-01     5.5945217187e-01     22.42       570.4 
3275     3288     367      46       7.2111000000e-01     5.5945217187e-01     22.42       574.1 
3298     3311     370      66       7.2111000000e-01     5.5945217187e-01     22.42       575.6 
3331     3344     371      67       7.2111000000e-01     5.5945217604e-01     22.42       577.6 
3354     3367     372      47       7.2111000000e-01     5.5945217604e-01     22.42       580.7 
3386     3399     374      47       7.2111000000e-01     5.5949671194e-01     22.41       582.4 
3421     3434     375      48       7.2111000000e-01     5.5949671194e-01     22.41       585.4 
3459     3472     377      48       7.2111000000e-01     5.6032929512e-01     22.30       589.5 
3500     3513     372      49       7.2111000000e-01     5.6032929512e-01     22.30       593.7 
3523     3536     373      80       7.2111000000e-01     5.6032929512e-01     22.30       598.8 
3541     3554     377      50       7.2111000000e-01     5.6032929512e-01     22.30       602.3 
3568     3581     376      50       7.2111000000e-01     5.6156759783e-01     22.12       606.4 
3592     3605     380      51       7.2111000000e-01     5.6156759783e-01     22.12       608.5 
3614     3627     382      86       7.2111000000e-01     5.6157952125e-01     22.12       610.5 
3648     3661     382      91       7.2111000000e-01     5.6157952125e-01     22.12       612.6 
3668     3681     382      94       7.2111000000e-01     5.6157952125e-01     22.12       614.4 
3698     3711     386      97       7.2111000000e-01     5.6157952125e-01     22.12       615.9 
3724     3737     384      101      7.2111000000e-01     5.6157952125e-01     22.12       617.6 
3758     3771     388      109      7.2111000000e-01     5.6157952125e-01     22.12       619.5 
3791     3804     399      110      7.2111000000e-01     5.6157952125e-01     22.12       622.1 
3791     3815     399      110      7.2111000000e-01     5.6157952125e-01     22.12       627.0 
3791     3826     399      110      7.2111000000e-01     5.6157952125e-01     22.12       627.4 
3791     3837     399      110      7.2111000000e-01     5.6157952125e-01     22.12       628.4 
3798     3849     399      110      7.2111000000e-01     5.6157952125e-01     22.12       629.4 
3811     3862     399      110      7.2111000000e-01     5.6157952125e-01     22.12       630.7 
3823     3874     399      110      7.2111000000e-01     5.6157952125e-01     22.12       631.5 
3842     3893     399      110      7.2111000000e-01     5.6157952125e-01     22.12       633.2 
3853     3904     399      110      7.2111000000e-01     5.6157952125e-01     22.12       634.1 
